timestamp,value,value_raw
1985-03-15 07:00:00.000000000,40.15570173033069,40.0
1985-03-15 07:00:24.622399544,39.96622182199143,40.0
1985-03-15 07:00:49.244799088,39.86807632918848,40.0
1985-03-15 07:01:13.867198632,39.84374767131643,40.0
1985-03-15 07:01:38.489598176,39.87571826776987,40.0
1985-03-15 07:02:03.111997720,39.94647053794339,40.0
1985-03-15 07:02:27.734397264,40.038486901231586,40.0
1985-03-15 07:02:52.356796808,40.13424977702905,40.0
1985-03-15 07:03:16.979196352,40.216241584730376,40.0
1985-03-15 07:03:41.601595896,40.26694474373016,40.0
1985-03-15 07:04:06.223995440,40.26884167342247,40.0
1985-03-15 07:04:30.846394984,40.03084572630898,40.0
1985-03-15 07:04:55.468794528,39.699858986644806,40.0
1985-03-15 07:05:20.091194072,39.292513953910536,40.0
1985-03-15 07:05:44.713593616,38.8254431275868,40.0
1985-03-15 07:06:09.335993160,38.3152790071542,40.0
1985-03-15 07:06:33.958392704,37.77865409209336,40.0
1985-03-15 07:06:58.580792248,37.196002514833445,35.37465309898242
1985-03-15 07:07:23.203191792,36.64026534582397,34.912118408880666
1985-03-15 07:07:47.825591336,36.12595822097529,34.912118408880666
1985-03-15 07:08:12.447990880,35.64949759267205,34.912118408880666
1985-03-15 07:08:37.070390424,35.22769740584372,34.912118408880666
1985-03-15 07:09:01.692789968,34.914235272450476,34.912118408880666
1985-03-15 07:09:26.315189512,34.74691232767552,34.912118408880666
1985-03-15 07:09:50.937589056,34.715552505927526,34.912118408880666
1985-03-15 07:10:15.559988600,34.787359542321546,34.912118408880666
1985-03-15 07:10:40.182388144,34.97656178414055,34.912118408880666
1985-03-15 07:11:04.804787688,35.338273286481645,35.55966697502313
1985-03-15 07:11:29.427187232,35.46839991423632,35.55966697502313
1985-03-15 07:11:54.049586776,35.58689891280865,35.55966697502313
1985-03-15 07:12:18.671986320,35.71046326349552,35.88344125809436
1985-03-15 07:12:43.294385864,35.83410321645277,36.34597594819611
1985-03-15 07:13:07.916785408,36.03815374417173,36.34597594819611
1985-03-15 07:13:32.539184952,36.18489775095295,35.88344125809436
1985-03-15 07:13:57.161584497,36.274335236796425,35.55966697502313
1985-03-15 07:14:21.783984041,36.30646620170215,35.88344125809436
1985-03-15 07:14:46.406383585,36.28129064567014,36.39222941720629
1985-03-15 07:15:11.028783129,36.19880856870037,36.43848288621647
1985-03-15 07:15:35.651182673,36.117445405332035,36.484736355226644
1985-03-15 07:16:00.273582217,36.00311965208394,36.43848288621647
1985-03-15 07:16:24.895981761,35.857948172526335,36.43848288621647
1985-03-15 07:16:49.518381305,35.71326054749909,36.43848288621647
1985-03-15 07:17:14.140780849,35.59586534207411,34.912118408880666
1985-03-15 07:17:38.763180393,35.48459392054882,34.912118408880666
1985-03-15 07:18:03.385579937,35.34240117044365,34.912118408880666
1985-03-15 07:18:28.007979481,35.169105646309745,34.912118408880666
1985-03-15 07:18:52.630379025,35.01413611251266,34.912118408880666
1985-03-15 07:19:17.252778569,34.908474379448556,34.912118408880666
1985-03-15 07:19:41.875178113,34.83269066363326,34.912118408880666
1985-03-15 07:20:06.497577657,34.795947960235175,34.912118408880666
1985-03-15 07:20:31.119977201,34.79777753517804,34.912118408880666
1985-03-15 07:20:55.742376745,34.88440261656389,34.912118408880666
1985-03-15 07:21:20.364776289,35.185375254892605,34.912118408880666
1985-03-15 07:21:44.987175833,35.275810690704915,34.912118408880666
1985-03-15 07:22:09.609575377,35.244783518946534,34.912118408880666
1985-03-15 07:22:34.231974921,35.11762050019022,34.912118408880666
1985-03-15 07:22:58.854374465,34.88174141664699,34.912118408880666
1985-03-15 07:23:23.476774009,34.58480593955584,34.912118408880666
1985-03-15 07:23:48.099173553,34.62956248361276,34.912118408880666
1985-03-15 07:24:12.721573097,34.35875515116025,34.86586493987049
1985-03-15 07:24:37.343972641,34.02308107073335,34.77335800185014
1985-03-15 07:25:01.966372185,33.3446262964651,33.940795559666974
1985-03-15 07:25:26.588771729,32.37933650842667,30.425531914893618
1985-03-15 07:25:51.211171273,31.183157386689185,30.240518038852912
1985-03-15 07:26:15.833570817,29.814620208970343,30.148011100832562
1985-03-15 07:26:40.455970361,28.33081980985085,29.82423681776133
1985-03-15 07:27:05.078369905,26.779808992375624,29.82423681776133
1985-03-15 07:27:29.700769449,25.212815854944925,29.269195189639223
1985-03-15 07:27:54.323168994,23.691698175172576,21.498612395929694
1985-03-15 07:28:18.945568538,22.276574878453943,21.498612395929694
1985-03-15 07:28:43.567968082,21.019218399535955,17.798334875115636
1985-03-15 07:29:08.190367626,19.969662320947105,17.798334875115636
